SEASON_ID,Player_ID,Game_ID,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
201415,203112.0,0021400688,W,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
201415,203112.0,0021400652,L,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0
201415,203112.0,0021400645,W,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
201415,203112.0,0021400585,L,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-5.0
201415,203112.0,0021400549,L,22.0,6.0,9.0,0.667,3.0,4.0,0.75,3.0,4.0,0.75,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,18.0,-8.0
201415,203112.0,0021400536,L,31.0,4.0,7.0,0.571,0.0,1.0,0.0,3.0,7.0,0.429,1.0,4.0,5.0,3.0,0.0,0.0,1.0,4.0,11.0,-7.0
201415,203112.0,0021400525,L,30.0,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,0.0,0.0,2.0,2.0,4.0,-10.0
201415,203112.0,0021400513,L,31.0,7.0,8.0,0.875,2.0,3.0,0.667,3.0,4.0,0.75,3.0,11.0,14.0,1.0,1.0,0.0,1.0,3.0,19.0,-2.0
201415,203112.0,0021400506,L,28.0,4.0,7.0,0.571,0.0,1.0,0.0,1.0,2.0,0.5,1.0,6.0,7.0,2.0,2.0,0.0,0.0,4.0,9.0,-11.0
201415,203112.0,0021400487,L,25.0,4.0,10.0,0.4,0.0,2.0,0.0,1.0,1.0,1.0,4.0,5.0,9.0,1.0,1.0,1.0,0.0,4.0,9.0,-6.0
201415,203112.0,0021400477,L,19.0,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,-7.0
201415,203112.0,0021400456,L,24.0,5.0,9.0,0.556,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,1.0,12.0,-4.0
201415,203112.0,0021400427,L,12.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,-1.0
201415,203112.0,0021400400,L,26.0,3.0,8.0,0.375,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,2.0,2.0,3.0,7.0,-14.0
201415,203112.0,0021400393,L,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,-9.0
201415,203112.0,0021400379,L,10.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0
