Game_ID,Team_ID,GAME_DATE,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Home_Flag,Vs_Team_ID,Win_Flag,Season_ID
0021201218,1610612737,2013-04-17,240,37,90,0.411,2,21,0.095,16,17,0.941,15,38,53,14,7,2,12,15,92,0,1610612752,0,201213
0021201213,1610612737,2013-04-16,240,35,88,0.398,9,28,0.321,17,23,0.739,14,28,42,22,8,1,11,19,96,1,1610612761,0,201213
0021201179,1610612737,2013-04-12,240,43,85,0.506,6,20,0.3,17,25,0.68,8,38,46,26,14,5,17,13,109,1,1610612749,1,201213
0021201164,1610612737,2013-04-10,240,49,91,0.538,8,22,0.364,18,19,0.947,9,35,44,34,8,2,10,17,124,0,1610612755,1,201213
0021201143,1610612737,2013-04-06,240,35,83,0.422,5,12,0.417,22,25,0.88,9,29,38,23,10,2,12,23,97,0,1610612759,0,201213
0021201129,1610612737,2013-04-05,240,34,73,0.466,5,17,0.294,17,27,0.63,6,35,41,23,5,4,12,19,90,1,1610612755,0,201213
0021201113,1610612737,2013-04-03,240,32,66,0.485,9,26,0.346,9,19,0.474,7,28,35,22,7,2,15,10,82,1,1610612752,0,201213
0021201101,1610612737,2013-04-01,240,37,81,0.457,9,30,0.3,19,26,0.731,10,27,37,26,8,3,11,17,102,1,1610612739,1,201213
0021201086,1610612737,2013-03-30,240,34,78,0.436,6,21,0.286,23,31,0.742,9,35,44,18,9,6,16,24,97,1,1610612753,1,201213
0021201075,1610612737,2013-03-29,240,40,88,0.455,8,20,0.4,19,24,0.792,10,30,40,28,6,2,13,15,107,0,1610612738,0,201213
0021201057,1610612737,2013-03-27,240,40,81,0.494,10,21,0.476,17,20,0.85,8,32,40,27,11,0,11,21,107,0,1610612761,1,201213
0021201050,1610612737,2013-03-25,240,36,80,0.45,7,21,0.333,15,25,0.6,10,28,38,18,11,7,16,17,94,0,1610612754,0,201213
0021201040,1610612737,2013-03-24,240,39,78,0.5,10,26,0.385,16,21,0.762,7,30,37,28,9,4,13,12,104,0,1610612749,1,201213
0021201025,1610612737,2013-03-22,240,37,83,0.446,7,24,0.292,12,16,0.75,6,35,41,27,8,6,11,14,93,1,1610612757,0,201213
0021201011,1610612737,2013-03-20,240,38,79,0.481,8,18,0.444,14,17,0.824,9,38,47,26,7,6,16,15,98,1,1610612749,1,201213
